title,tag
18points UG (haftungsbeschränkt),FinTech | InsurTech | LegalTech | RegTech
360 Grad Aufnahmen,Fotografie
360 Grad Aufnahmen,IT/Technologie
360 Grad Aufnahmen,Virtual Reality
4.screen,Mobility
4.screen,Smart Mobility
3dTrust GmbH,3D-Technology
3dTrust GmbH,IT Security
3dTrust GmbH,IT/Technologie
4tiitoo GmbH,IT/Technologie
4tiitoo GmbH,SaaS
3megawatt GmbH,Energy
3megawatt GmbH,IT/Technologie
3megawatt GmbH,Renewable Energy
3megawatt GmbH,SaaS
42DBS GmbH,IT/Technologie
42DBS GmbH,SaaS
3D Druck München,Services
3Bears,Ernährung
3Bears,Food
3Bears,Lebensmittel
1Pitch,App
1Pitch,IT/Technologie
1Pitch,Medien
52masterworks GmbH,FinTech
52masterworks GmbH,FinTech | InsurTech | LegalTech | RegTech
5 Euro StartUp,
additive elements GmbH,3D-Technology
additive elements GmbH,IT/Technologie
ACU GmbH,Accelerator/Incubator
Aampere GmbH,(e)Commerce
Aampere GmbH,B2C
Aampere GmbH,eMobility
Aampere GmbH,Mobility
ABC Venture Gates,Accelerator/Incubator
Aboalarm GmbH,IT/Technologie
Aboalarm GmbH,SaaS
addet labs UG,(e)Commerce
addet labs UG,B2C
addet labs UG,Online Shopping
Actyx AG,Industry
Actyx AG,IT/Technologie
Acton Capital,Investor
Across Property,PropTech / Real Estate
accu:rate GmbH,IT/Technologie
accu:rate GmbH,SaaS
absence.io,IT/Technologie
absence.io,SaaS
Abracar,Automotive
Abracar,Mobility
AIM Advanced Identification Methods GmbH,BioTech
AIM Advanced Identification Methods GmbH,Life Science
Agile Robots AG,Artificial Intelligence
Agile Robots AG,IT/Technologie
Agile Robots AG,Robotics
adnymics GmbH,Big Data
adnymics GmbH,IT/Technologie
AINOHA,(e)Commerce
AINOHA,B2C
AINOHA,Online Shopping
Air Up,Food
Air Up,FoodTech
Air Up,Getränke
Agenturmatching,IT/Technologie
Agenturmatching,SaaS
AEVO GmbH,Big Data
AEVO GmbH,Industry
AEVO GmbH,IT/Technologie
AEVO GmbH,SaaS
agrilution GmbH,Food
agrilution GmbH,FoodTech
agrilution GmbH,IoT
agrilution GmbH,IT/Technologie
agrilution GmbH,Smart Home
advilo GbR,PropTech / Real Estate
Advanced Navigation Solutions GmbH,eMobility
Advanced Navigation Solutions GmbH,IT/Technologie
Advanced Navigation Solutions GmbH,Mobility
Advanced Navigation Solutions GmbH,SaaS
alexandrya.ai,Artificial Intelligence
alexandrya.ai,IT/Technologie
alexandrya.ai,SaaS
AIVENTA,App
AIVENTA,IT/Technologie
ajuma,IT/Technologie
ajuma,Life Science
akjumii,Fashion
ALALJOJO,Lifestyle
ALALJOJO,Sport
Alasco GmbH,IT/Technologie
Alasco GmbH,PropTech / Real Estate
Alasco GmbH,SaaS
Alaiko,Logistics
Alaiko,Transport
Alexander Thamm GmbH,Big Data
Alexander Thamm GmbH,IT/Technologie
Alphabots GmbH,Artificial Intelligence
Alphabots GmbH,IT/Technologie
Alphabots GmbH,Robotics
All3DP GmbH,3D-Technology
All3DP GmbH,IT/Technologie
alphaX Digital Services,(e)Commerce
alphaX Digital Services,FinTech | InsurTech | LegalTech | RegTech
Alpinchen,(e)Commerce
Alpinchen,B2C
Alpinchen,Online Shopping
Alpenventures UG (haftungsbeschränkt),Lifestyle
Alpenventures UG (haftungsbeschränkt),Travel
Allianz Digital Accelerator,Accelerator/Incubator
Appdafuer GmbH,App
Appdafuer GmbH,IT/Technologie
Appdafuer GmbH,Services
Angsa Robotics,Artificial Intelligence
Angsa Robotics,IT/Technologie
Angsa Robotics,Robotics
apaleo GmbH,Cloud
apaleo GmbH,IT/Technologie
apaleo GmbH,SaaS
Antidote GmbH,Bio
Antidote GmbH,Ernährung
Antidote GmbH,Food
Antidote GmbH,Getränke
Antidote GmbH,Lifestyle
Ananda Ventures,Investor
AMAZD GmbH,IT/Technologie
AMAZD GmbH,SaaS
AM Ventures,Investor
Alyne GmbH,IT Security
Alyne GmbH,IT/Technologie
ALSTIN II GmbH,Investor
AlterMobili GmbH,Mobility
AlterMobili GmbH,Smart Mobility
Altruja GmbH,Social Entrepreneurship
ALS Automatic Logistic Solutions GmbH,Industry
ALS Automatic Logistic Solutions GmbH,IT/Technologie
AppDevelz,IT/Technologie
AppDevelz,Services
Arana AI,Artificial Intelligence
Ariana Digital Health Solutions GmbH,Artificial Intelligence
Ariana Digital Health Solutions GmbH,Cloud
Ariana Digital Health Solutions GmbH,IT/Technologie
ARCWARE GmbH,3D-Technology
ARCWARE GmbH,Augmented Reality
ARCWARE GmbH,IT/Technologie
ARCWARE GmbH,Virtual Reality
Ariadne Maps GmbH,IoT
Ariadne Maps GmbH,IT/Technologie
AquaTelligent,IT/Technologie
AR-Experts GmbH,Artificial Intelligence
AR-Experts GmbH,Augmented Reality
AR-Experts GmbH,Industry
AR-Experts GmbH,IT/Technologie
Aquahara Technology GmbH,Energy
Aquahara Technology GmbH,Solar
AQAL Capital GmbH,Investor
Applaunch.io,IT/Technologie
AppSCREEN® GmbH – Apps perfekt präsentieren!,App
AppSCREEN® GmbH – Apps perfekt präsentieren!,IoT
AppSCREEN® GmbH – Apps perfekt präsentieren!,IT/Technologie
Arthur Bus GmbH,Mobility
arranja GmbH,(e)Commerce
arranja GmbH,Food
arranja GmbH,Lebensmittel
arranja GmbH,Online Shopping
ArtfulBits software company GmbH,App
ArtfulBits software company GmbH,FinTech | InsurTech | LegalTech | RegTech
ArtfulBits software company GmbH,IT/Technologie
ARTEXO,Health
ARTEXO,Life Science
ARTEXO,MedTech
Ashoka Deutschland,Accelerator/Incubator
ARTICLY,Medien
Art-Glove,eHealth
Art-Glove,Life Science
Art-Glove,MedTech
ASBUS GmbH,(e)Commerce
ASBUS GmbH,Online Shopping
ASBUS GmbH,Shopping
ArtMasters,Lifestyle
ArtMasters,Services
baind,Artificial Intelligence
baind,IoT
baind,IT/Technologie
baind,PropTech / Real Estate
ASTUTIA Ventures,Investor
AskBrian GmbH,Artificial Intelligence
AskBrian GmbH,IT/Technologie
Atopia,Virtual Reality
bankscore,IT/Technologie
bankscore,SaaS
Augmentaio GmbH,Augmented Reality
Augmentaio GmbH,IT/Technologie
Augmentaio GmbH,Virtual Reality
BANKSapi GmbH,Banking
BANKSapi GmbH,FinTech
BANKSapi GmbH,FinTech | InsurTech | LegalTech | RegTech
BANKSapi GmbH,IT/Technologie
BANKSapi GmbH,SaaS
Babo Beverages UG (haftungsbeschränkt),Food
Babo Beverages UG (haftungsbeschränkt),Getränke
audEERING GmbH,Artificial Intelligence
audEERING GmbH,IoT
audEERING GmbH,IT/Technologie
audEERING GmbH,Life Science
audEERING GmbH,Robotics
B42,Sport
B42,Training
Azena,IoT
Azena,IT/Technologie
AZUBIYO GmbH,Education
AZUBIYO GmbH,IT/Technologie
AZUBIYO GmbH,SaaS
Avantpark,Mobility
Avantpark,Parking
Avantpark,Smart City
azuma healthtech GmbH,Cloud
azuma healthtech GmbH,eHealth
azuma healthtech GmbH,IT/Technologie
azuma healthtech GmbH,Life Science
azuma healthtech GmbH,SaaS
authorized.by GmbH,IT/Technologie
authorized.by GmbH,SaaS
AVANTGARDRESS,(e)Commerce
AVANTGARDRESS,Fashion
AVANTGARDRESS,Online Shopping
bao solutions,IT/Technologie
bao solutions,SaaS
"Bayerisches Staatsministerium für Wirtschaft, Landesentwicklung und Energie",
BayStartUP,
BayBG Bayerische Beteiligungsgesellschaft mbH,Investor
baybies GmbH,(e)Commerce
BAVERTIS GmbH,eMobility
BAVERTIS GmbH,Mobility
BAVERTIS GmbH,Smart Mobility
Bayerische Telemedallianz UG ( haftungsbeschränkt ),
BatchOne GmbH,Accelerator/Incubator
BASE Co-Working,Services
beatvest,FinTech
beatvest,FinTech | InsurTech | LegalTech | RegTech
baristina,Food
baristina,FoodTech
baristina,Getränke
BARRIO,Lifestyle
Bilendo GmbH,Banking
Bilendo GmbH,FinTech
Bilendo GmbH,FinTech | InsurTech | LegalTech | RegTech
Bilendo GmbH,IT/Technologie
Bilendo GmbH,SaaS
BetterTaxi (BetterTec GmbH),Mobility
