title,address,business_model,description,email,foundation_year,founders_number,growth_stage,is_active,last_updated,link,staff_size,tags,telephone,total_team_size,website
18points UG (haftungsbeschränkt),"Balanstr. 30A, 81669 München",B2C," Die Gesetze-App von 18points ist der ultimative Sidekick für alle Jurahelden/innen und eignet sich perfekt für dich, wenn du auf der Suche nach einem digitalen Begleiter für dein Jurastudium bist. Dank 18points hast du deine wichtigsten Gesetze und Gerichtsentscheidungen immer dabei und kannst diese direkt im Webbrowser auf deinem PC oder Mac bearbeiten: Markiere und unterstreiche wichtige Textstellen, füge persönliche Notizen hinzu und lege Verweise zu relevanten Paragrafen an. Deine Vorteile: ✓ Keine schweren Bücher ✓ Kein Nachsortieren ✓ Stets aktuell",info@18points.de,,2,Startup-Stage,True,02.09.2019,https://www.munich-startup.de/startups/18points-ug-haftungsbeschraenkt/,0,FinTech | InsurTech | LegalTech | RegTech,,2,https://www.18points.de/
360 Grad Aufnahmen,"Trausnitzstraße, 8, 81671 München",B2B," BEING THERE, WITHOUT BEING THERE Der Name des Unternehmens ist zugleich Programm. Die Schwerpunkte sind virtuelle 360 Grad Rundgänge, 360 Grad Produktfotos, 360 Grad Videos, 360 Grad Luftaufnahmen, 360 Grad Livestreaming und Google Street View – Trusted Aufnahmen. Die technischen Möglichkeiten sind faszinierend. Durch 360 Grad Aufnahmen bekommt der Betrachter einen vielfach tieferen Einblick in das Motiv als durch „normale“ Fotos. Unternehmen können mit 360 Grad Luftaufnahmen, 360 Grad Videos oder einer 360 Grad Tour ihr Haus, ihre Locations und Herstellungsprozesse anschaulich präsentieren. Dank der fortschrittlichen Technologie können auch Gebäude und Produkte dargestellt werden, die noch nicht oder nicht mehr existieren. Das ist vor allem für Architekten, Immobilienfirmen, Denkmalpfleger und Historiker hochinteressant. UNSERE LEISTUNGEN Wir erstellen hochauflösende, virtuelle 360 Grad Rundgänge für Unternehmen, Einrichtungen und Privatpersonen. Die 360 Grad Tour können Sie auf ihren Websites integrieren. So können Sie Ihr Unternehmen und Ihre Produkte bzw. Leistungen optimal auf allen Devices präsentieren. Unser Leistungsspektrum im Überblick: 360 Grad Tour 360 Grad Touren sind virtuelle Panoramen von Städten, Gebäuden oder Räumen im Rundum-Winkel. Google, Facebook, Immobilienfirmen und die Tourismusbranche nutzen längst das große Potential virtueller Touren. Unsere eindrucksvollen Panoramen bestechen durch perfekte Qualität und einzigartige Erlebnisse. 360 Grad Produktfotografie In spektakulären 360 Grad Produktaufnahmen präsentieren wir Autos, Mode, Accessoires u.v.m. Sortimente aller Branchen werten wir durch eindrucksvolle 360-Grad-Produktpräsentationen wirkungsvoll auf. Professionelle 360 Grad Produktfotos sind das A & O eines gelungenen Online-Auftritts. 360 Grad Luftaufnahmen Mithilfe von hochmodernen HD-Kamera-Drohnen erstellen wir faszinierende Luftaufnahmen mit Rundumblick. Aus atemberaubenden Luftaufnahmen erstellen wir erstklassige Image-, Industrie- und Werbefilme. 360 Grad Video Die faszinierende 360 Grad Technik hat die Videotechnik revolutioniert. Der Zuschauer steht mitten im Geschehen, fliegt virtuell durch den Grand Canyon, rast über spektakuläre Skipisten und bestaunt die schönsten Orte der Erde. Neben Künstlern, Spieleherstellern und Sportlern nutzen immer mehr Unternehmen und öffentliche Einrichtungen das innovative Medium. 360 Grad / VR Livestreaming Wir erstellen eindrucksvolle Live-Streamings mit Rundumblick in Echtzeit in 4K-Qualität. Neben Fernsehsendern und Videoportalen arbeiten immer mehr Unternehmen erfolgreich mit dem faszinierenden Medium. Google Street View Trusted Google Street View – Trusted ist ein innovatives, virtuelles Tour-Angebot in faszinierender 360 Grad-Technik. Wir erstellen interaktive Panoramen von Unternehmen, Innenräumen und Landschaften u.v.m., die in allen Google-Medien erscheinen. Besucher können so durch Geschäfte und Unternehmen navigieren wie auf Straßen.",af@360-grad-aufnahmen.de,2015,1,Later-Stage,True,07.09.2020,https://www.munich-startup.de/startups/360-grad-aufnahmen-de/,2,"Fotografie,IT/Technologie,Virtual Reality",089 99299988,3,http://www.360-grad-aufnahmen.de
4.screen,"Sailerstr. 17, 80809 München",B2B," 4.screen ist die weltweit erste Plattform zur Echtzeit-Interaktion mit Fahrer*innen aller Fahrzeugmarken. Die Mobility Experience Cloud (MXC) von 4.screen bietet eine standardisierte Schnittstelle für die standortbezogene Kommunikation und Interaktion direkt auf dem Fahrzeugbildschirm mit allen Fahrer*innen aller Fahrzeughersteller weltweit. Automobilhersteller und Mobilitätsdienstleister integrieren die APIs in ihre Systeme, um das Fahrerlebnis auf das nächste Level zu heben und Milliarden von täglichen Nutzerinteraktionen zu ermöglichen. Autofahrer*innen profitieren von nützlichen Service Empfehlungen im Fahrzeug und dem Zugang zu exklusiven Angeboten. Unternehmen jeglicher Größe – von lokalen Geschäften bis hin zu globalen Marken und Smart Cities – nutzen die 4.screen-Technologie, um die Sichtbarkeit ihrer Marke und ihrer Standorte zu erhöhen, indem sie den Fahrer*innen nützliche Inhalte und Services anbieten.",info@4screen.com,2020,3,Seed-Stage,True,04.08.2022,https://www.munich-startup.de/startups/4-screen/,60,"Mobility,Smart Mobility",017684501684,63,https://4screen.com/
3dTrust GmbH,"Heßstraße 89, 80797 München",, 3dTrust offers a secured and direct streaming solution of encrypted printing data to distant 3D printers. This gives them the possibility to outsource and manage the production from their headquarters to distant counterparts who have a 3D printer while maintaining control over their intellectual property and products.,contact@3dtrust.de,,,,True,04.09.2017,https://www.munich-startup.de/startups/3dtrust/,,"3D-Technology,IT Security,IT/Technologie",,,http://www.3dtrust.de
4tiitoo GmbH,"Rosenheimerstr. 139, 81671 München",B2B, Die 4tiitoo GmbH ist mit ihrer Enterprise-SaaS-Lösung „NUIA“ ein Marktführer für die Blicksteuerung von Office-Computern. NUIA verbessert Effizienz und Ergonomie sowohl bei der Verwendung von Büro-Standardsoftware als auch in speziellen Setups von Konstruktion und Entwicklung bis hin zu Support Centern. Das Modul Full Focus sorgt zudem für natürlichen Blickkontakt und Vertrauen in Videokonferenzen – ganz automatisch und anbieterunabhängig. NUIA unterstützt die gesamte Softwarepalette von ERP-Software wie SAP über Office-Applikationen wie Excel und Outlook bis hin zu Konstruktionssoftware wie AutoCAD oder Siemens NX. Je nach Einsatzfeld kann so ein Effizienzpotenzial von 4-12% gehoben werden. Führende Enterprise Unternehmen im DACH Raum zählen zu den Kunden.,info@4tiitoo.com,,,Growth-Stage,True,07.09.2021,https://www.munich-startup.de/startups/4tiitoo-gmbh/,,"IT/Technologie,SaaS",089/200012820,,http://www.4tiitoo.com/
3megawatt GmbH,"Mozart Str. 8, 80336 München",," 3megawatt provides software, methodology and support for renewable energy asset owners and operators",,,,,True,04.09.2017,https://www.munich-startup.de/startups/3megawatt-gmbh/,,"Energy,IT/Technologie,Renewable Energy,SaaS",+49 89 380 388 55,,http://www.3megawatt.com
42DBS GmbH,"Herzogspitalstraße 24, 80331 München",B2B," Die ShakeSpeare® Software unterstützt die Digitalisierung in Juristischen Bereich, sowohl als Compliance, Banking und Versicherungsbranche. Die ShakeSpeare® Software Technologie unterstützt die schnelle Anpassung und Automatisierung von Prozessen mit Workflow Automation in Bereichen wie Rechtsanwaltskanzleien, Rechtsabteitungen, Steuerberaterkanzleien, Mittelstant und Konzerne. Mit ShakeSpeare kann man eine eigene Lösung schnell bauen die unterstützt die Zusammenarbeit intern oder extern mit Kunden/Mandanten. Wir stellen uns eine Welt vor, in der Menschen nur noch maximall 6 Stunden täglich arbeiten, aber mehr schaffen als heute.",willkommen@42dbs.de,2017,3,Growth-Stage,True,20.11.2020,https://www.munich-startup.de/startups/42-digital-business-solutions-gmbh/,9,"IT/Technologie,SaaS",+49 89 45169979,12,http://www.shakespeare-software.com
3D Druck München,"Danklstr. 4, 81371 München",B2B," Willkommen bei Deinem online 3D-Druck- und Konstruktionsservice. Mit Leidenschaft und Liebe zum Detail unterstützen wir Dich als FDM-Druckservice bei Deinem Projekt. Völlig unkompliziert von Mensch zu Mensch. Unsere Kunden sind Privatpersonen, Betriebe, Ingenieurbüros und öffentliche Institutionen aus ganz Deutschland, die die Vorteile der additiven Fertigung nutzen. Die Palette reicht von einfachen Ersatzteilen über Prototypen (Rapid Prototyping) bis hin zu Architekturmodellen, Designelementen und der Überbrückung von Lieferketten. Häufig ist eine Kleinserie mit Hilfe dieser Art der generativen Fertigung günstiger (Mikroproduktion). Wir nutzen leistungsstarke Slicer- und Konstruktionstools für diese „Mikrofabrik“. Nachhaltigkeit steht hierbei immer im Fokus. Wir sind erst zufrieden, wenn Du zufrieden bist.",info@3ddruckmuenchen.com,2020,,Growth-Stage,True,04.01.2022,https://www.munich-startup.de/startups/3d-druck-muenchen/,,Services,017695283078,,https://3ddruckmuenchen.com/
3Bears,"Zielstattstraße 40, 81379 München",," Wir von 3Bears machen tasty Porridge und wollen unsere Freunde, Familien und Kinder stolz machen auf das, was wir tun und wünschen uns, dass sie Fans unserer Produkte sind. Dabei achten wir auf unseren Planeten und tun viel dafür, unseren Impact so klein wie möglich zu halten. Wie? Mit Verantwortungsbewusstsein, Qualität und Geschmack, ganz ohne Schnickschnack und Industriezucker – we are sweet enough! Wir sind das einzige Unternehmen, das nur Produkte rund um Porridge herstellt. Wir sind die Porridge-Company – und wir wollen die beste der Welt sein! Unser Porridge schmeckt und ist voller guter Zutaten. Es gibt deinem Körper wichtige Nährstoffe und die nötige Power, damit du dich gut fühlst und viel erleben kannst.",info@3bears.de,2015,2,Growth-Stage,True,07.04.2022,https://www.munich-startup.de/startups/3bears/,30,"Ernährung,Food,Lebensmittel",+49 (0)89 122878330,32,http://www.3Bears.de
1Pitch,"Dienerstrasse 18, 80331 München",B2B," Eine Pitching-iPhone-App im Tiktok-Stil, in der Gründer und Gründerinnen einen Video-Pitch erstellen können, um hohe Visibilität zu bekommen. Die 1Pitch Plattform ist voranging für Startups in der Frühphase vor Series A. Insbesondere auch für Solo-Gründer oder Startups außerhalb von Städten mit Startup-Angeboten und Pitching-Events. Wer sich für Startups und Pitches interessiert, kann sich zu seinen Interessens-Gebieten Pitches in Kurz-Video ansehen und inspirieren lassen. Startups, die einen Video-Pitch erstellen wollen, nutzen den eingebauten Pitch-Creator. Das aufgenommene Video kann kontrolliert nur an eigene Leute oder Gruppen veröffentlicht werden. Daher nutzen Startup-Programme 1Pitch für ihre Batch-Teams, um sich gegenseitig zu updaten und Feedback zu ihren Pitches zu geben.",kontakt@one-pitch.com,2022,1,Seed-Stage,True,28.02.2023,https://www.munich-startup.de/startups/1pitch/,1,"App,IT/Technologie,Medien",,2,https://1pitch.de
